run_id,seed,role,condition,status,runtime_sec,run_dir
s001-rep-implementation_mismatch,1,replicator,implementation_mismatch,SUCCEEDED,0.003318508000120346,runs/seeded_faults/seed_001/replicator_implementation_mismatch
s001-rep-environment_mismatch,1,replicator,environment_mismatch,SUCCEEDED,0.0026039699998818833,runs/seeded_faults/seed_001/replicator_environment_mismatch
s001-rep-protocol_ambiguous,1,replicator,protocol_ambiguous,SUCCEEDED,0.002632763000065097,runs/seeded_faults/seed_001/replicator_protocol_ambiguous
s001-rep-hidden_contamination,1,replicator,hidden_contamination,SUCCEEDED,0.0027093490000424936,runs/seeded_faults/seed_001/replicator_hidden_contamination
s001-proposer-shared,1,proposer,shared_bug,SUCCEEDED,0.0026988640001945896,runs/seeded_faults/seed_001/proposer_shared_bug
s001-rep-shared_bug,1,replicator,shared_bug,SUCCEEDED,0.002563558000019839,runs/seeded_faults/seed_001/replicator_shared_bug
s002-proposer-clean,2,proposer,clean,SUCCEEDED,0.003839685000002646,runs/seeded_faults/seed_002/proposer_clean
s002-rep-clean,2,replicator,clean,SUCCEEDED,0.0025479659998381976,runs/seeded_faults/seed_002/replicator_clean
s002-rep-data_mismatch,2,replicator,data_mismatch,SUCCEEDED,0.006744388000015533,runs/seeded_faults/seed_002/replicator_data_mismatch
s002-rep-metric_mismatch,2,replicator,metric_mismatch,SUCCEEDED,0.002571800999930929,runs/seeded_faults/seed_002/replicator_metric_mismatch
s002-rep-implementation_mismatch,2,replicator,implementation_mismatch,SUCCEEDED,0.0026651419998415804,runs/seeded_faults/seed_002/replicator_implementation_mismatch
s002-rep-environment_mismatch,2,replicator,environment_mismatch,SUCCEEDED,0.0035061419998783094,runs/seeded_faults/seed_002/replicator_environment_mismatch
s002-rep-protocol_ambiguous,2,replicator,protocol_ambiguous,SUCCEEDED,0.0026649320000160515,runs/seeded_faults/seed_002/replicator_protocol_ambiguous
s002-rep-hidden_contamination,2,replicator,hidden_contamination,SUCCEEDED,0.002733354999918447,runs/seeded_faults/seed_002/replicator_hidden_contamination
s002-proposer-shared,2,proposer,shared_bug,SUCCEEDED,0.0034582579999096197,runs/seeded_faults/seed_002/proposer_shared_bug
s002-rep-shared_bug,2,replicator,shared_bug,SUCCEEDED,0.002976130999968518,runs/seeded_faults/seed_002/replicator_shared_bug
s003-proposer-clean,3,proposer,clean,SUCCEEDED,0.002691082000183087,runs/seeded_faults/seed_003/proposer_clean
s003-rep-clean,3,replicator,clean,SUCCEEDED,0.0025888069999382424,runs/seeded_faults/seed_003/replicator_clean
s003-rep-data_mismatch,3,replicator,data_mismatch,SUCCEEDED,0.005077512000070783,runs/seeded_faults/seed_003/replicator_data_mismatch
s003-rep-metric_mismatch,3,replicator,metric_mismatch,SUCCEEDED,0.0025388720000592002,runs/seeded_faults/seed_003/replicator_metric_mismatch
s003-rep-implementation_mismatch,3,replicator,implementation_mismatch,SUCCEEDED,0.004579932000069675,runs/seeded_faults/seed_003/replicator_implementation_mismatch
s003-rep-environment_mismatch,3,replicator,environment_mismatch,SUCCEEDED,0.004146847999891179,runs/seeded_faults/seed_003/replicator_environment_mismatch
s003-rep-protocol_ambiguous,3,replicator,protocol_ambiguous,SUCCEEDED,0.0032716170001094724,runs/seeded_faults/seed_003/replicator_protocol_ambiguous
s003-rep-hidden_contamination,3,replicator,hidden_contamination,SUCCEEDED,0.003593614000010348,runs/seeded_faults/seed_003/replicator_hidden_contamination
s003-proposer-shared,3,proposer,shared_bug,SUCCEEDED,0.004932693999990079,runs/seeded_faults/seed_003/proposer_shared_bug
s003-rep-shared_bug,3,replicator,shared_bug,SUCCEEDED,0.004403606000096261,runs/seeded_faults/seed_003/replicator_shared_bug
s004-proposer-clean,4,proposer,clean,SUCCEEDED,0.004050381999832098,runs/seeded_faults/seed_004/proposer_clean
s004-rep-clean,4,replicator,clean,SUCCEEDED,0.004234060000044337,runs/seeded_faults/seed_004/replicator_clean
s004-rep-data_mismatch,4,replicator,data_mismatch,SUCCEEDED,0.006953823999992892,runs/seeded_faults/seed_004/replicator_data_mismatch
s004-rep-metric_mismatch,4,replicator,metric_mismatch,SUCCEEDED,0.004587723999975424,runs/seeded_faults/seed_004/replicator_metric_mismatch
s004-rep-implementation_mismatch,4,replicator,implementation_mismatch,SUCCEEDED,0.007454288999952041,runs/seeded_faults/seed_004/replicator_implementation_mismatch
s004-rep-environment_mismatch,4,replicator,environment_mismatch,SUCCEEDED,0.0048774199999570556,runs/seeded_faults/seed_004/replicator_environment_mismatch
s004-rep-protocol_ambiguous,4,replicator,protocol_ambiguous,SUCCEEDED,0.004127799000116283,runs/seeded_faults/seed_004/replicator_protocol_ambiguous
s004-rep-hidden_contamination,4,replicator,hidden_contamination,SUCCEEDED,0.003041940999992221,runs/seeded_faults/seed_004/replicator_hidden_contamination
s004-proposer-shared,4,proposer,shared_bug,SUCCEEDED,0.0031867699999565957,runs/seeded_faults/seed_004/proposer_shared_bug
s004-rep-shared_bug,4,replicator,shared_bug,SUCCEEDED,0.0031397989998822595,runs/seeded_faults/seed_004/replicator_shared_bug
s005-proposer-clean,5,proposer,clean,SUCCEEDED,0.0029130860000350367,runs/seeded_faults/seed_005/proposer_clean
s005-rep-clean,5,replicator,clean,SUCCEEDED,0.002699503000030745,runs/seeded_faults/seed_005/replicator_clean
s005-rep-data_mismatch,5,replicator,data_mismatch,SUCCEEDED,0.005137564000051498,runs/seeded_faults/seed_005/replicator_data_mismatch
s005-rep-metric_mismatch,5,replicator,metric_mismatch,SUCCEEDED,0.004323683999928107,runs/seeded_faults/seed_005/replicator_metric_mismatch
s005-rep-implementation_mismatch,5,replicator,implementation_mismatch,SUCCEEDED,0.0032911970001805457,runs/seeded_faults/seed_005/replicator_implementation_mismatch
s005-rep-environment_mismatch,5,replicator,environment_mismatch,SUCCEEDED,0.0028732560001571983,runs/seeded_faults/seed_005/replicator_environment_mismatch
s005-rep-protocol_ambiguous,5,replicator,protocol_ambiguous,SUCCEEDED,0.005064106999952855,runs/seeded_faults/seed_005/replicator_protocol_ambiguous
s005-rep-hidden_contamination,5,replicator,hidden_contamination,SUCCEEDED,0.0037068890001137333,runs/seeded_faults/seed_005/replicator_hidden_contamination
s005-proposer-shared,5,proposer,shared_bug,SUCCEEDED,0.004889057999889701,runs/seeded_faults/seed_005/proposer_shared_bug
s005-rep-shared_bug,5,replicator,shared_bug,SUCCEEDED,0.0034989800001312688,runs/seeded_faults/seed_005/replicator_shared_bug
s006-proposer-clean,6,proposer,clean,SUCCEEDED,0.0054017620000195166,runs/seeded_faults/seed_006/proposer_clean
s006-rep-clean,6,replicator,clean,SUCCEEDED,0.0034738530000595347,runs/seeded_faults/seed_006/replicator_clean
s006-rep-data_mismatch,6,replicator,data_mismatch,SUCCEEDED,0.008495390999996744,runs/seeded_faults/seed_006/replicator_data_mismatch
s006-rep-metric_mismatch,6,replicator,metric_mismatch,SUCCEEDED,0.0033658299998933217,runs/seeded_faults/seed_006/replicator_metric_mismatch
s006-rep-implementation_mismatch,6,replicator,implementation_mismatch,SUCCEEDED,0.0038677480001751974,runs/seeded_faults/seed_006/replicator_implementation_mismatch
s006-rep-environment_mismatch,6,replicator,environment_mismatch,SUCCEEDED,0.003449276000083046,runs/seeded_faults/seed_006/replicator_environment_mismatch
s006-rep-protocol_ambiguous,6,replicator,protocol_ambiguous,SUCCEEDED,0.005414395999878252,runs/seeded_faults/seed_006/replicator_protocol_ambiguous
s006-rep-hidden_contamination,6,replicator,hidden_contamination,SUCCEEDED,0.0034439879998444667,runs/seeded_faults/seed_006/replicator_hidden_contamination
s006-proposer-shared,6,proposer,shared_bug,SUCCEEDED,0.003212688000076014,runs/seeded_faults/seed_006/proposer_shared_bug
s006-rep-shared_bug,6,replicator,shared_bug,SUCCEEDED,0.00318053000000873,runs/seeded_faults/seed_006/replicator_shared_bug
s007-proposer-clean,7,proposer,clean,SUCCEEDED,0.0035461019999729615,runs/seeded_faults/seed_007/proposer_clean
s007-rep-clean,7,replicator,clean,SUCCEEDED,0.002948269000171422,runs/seeded_faults/seed_007/replicator_clean
s007-rep-data_mismatch,7,replicator,data_mismatch,SUCCEEDED,0.005939995000062481,runs/seeded_faults/seed_007/replicator_data_mismatch
s007-rep-metric_mismatch,7,replicator,metric_mismatch,SUCCEEDED,0.005074457999853621,runs/seeded_faults/seed_007/replicator_metric_mismatch
s007-rep-implementation_mismatch,7,replicator,implementation_mismatch,SUCCEEDED,0.0038560290001896647,runs/seeded_faults/seed_007/replicator_implementation_mismatch
s007-rep-environment_mismatch,7,replicator,environment_mismatch,SUCCEEDED,0.003238727999814728,runs/seeded_faults/seed_007/replicator_environment_mismatch
s007-rep-protocol_ambiguous,7,replicator,protocol_ambiguous,SUCCEEDED,0.003148511000063081,runs/seeded_faults/seed_007/replicator_protocol_ambiguous
s007-rep-hidden_contamination,7,replicator,hidden_contamination,SUCCEEDED,0.004153287000008277,runs/seeded_faults/seed_007/replicator_hidden_contamination
s007-proposer-shared,7,proposer,shared_bug,SUCCEEDED,0.00334035099990615,runs/seeded_faults/seed_007/proposer_shared_bug
s007-rep-shared_bug,7,replicator,shared_bug,SUCCEEDED,0.003228733000014472,runs/seeded_faults/seed_007/replicator_shared_bug
s008-proposer-clean,8,proposer,clean,SUCCEEDED,0.005252627000118082,runs/seeded_faults/seed_008/proposer_clean
s008-rep-clean,8,replicator,clean,SUCCEEDED,0.004178294999974241,runs/seeded_faults/seed_008/replicator_clean
s008-rep-data_mismatch,8,replicator,data_mismatch,SUCCEEDED,0.008380137000131072,runs/seeded_faults/seed_008/replicator_data_mismatch
s008-rep-metric_mismatch,8,replicator,metric_mismatch,SUCCEEDED,0.0033362149999902613,runs/seeded_faults/seed_008/replicator_metric_mismatch
s008-rep-implementation_mismatch,8,replicator,implementation_mismatch,SUCCEEDED,0.0036306389999936073,runs/seeded_faults/seed_008/replicator_implementation_mismatch
s008-rep-environment_mismatch,8,replicator,environment_mismatch,SUCCEEDED,0.0033762450000267563,runs/seeded_faults/seed_008/replicator_environment_mismatch
s008-rep-protocol_ambiguous,8,replicator,protocol_ambiguous,SUCCEEDED,0.003049072000067099,runs/seeded_faults/seed_008/replicator_protocol_ambiguous
s008-rep-hidden_contamination,8,replicator,hidden_contamination,SUCCEEDED,0.0028524539998215914,runs/seeded_faults/seed_008/replicator_hidden_contamination
s008-proposer-shared,8,proposer,shared_bug,SUCCEEDED,0.003547043000025951,runs/seeded_faults/seed_008/proposer_shared_bug
s008-rep-shared_bug,8,replicator,shared_bug,SUCCEEDED,0.002995310999949652,runs/seeded_faults/seed_008/replicator_shared_bug
s009-proposer-clean,9,proposer,clean,SUCCEEDED,0.0031812099998660415,runs/seeded_faults/seed_009/proposer_clean
s009-rep-clean,9,replicator,clean,SUCCEEDED,0.0029913549999491806,runs/seeded_faults/seed_009/replicator_clean
s009-rep-data_mismatch,9,replicator,data_mismatch,SUCCEEDED,0.00689466599988009,runs/seeded_faults/seed_009/replicator_data_mismatch
s009-rep-metric_mismatch,9,replicator,metric_mismatch,SUCCEEDED,0.0029444629999488825,runs/seeded_faults/seed_009/replicator_metric_mismatch
s009-rep-implementation_mismatch,9,replicator,implementation_mismatch,SUCCEEDED,0.003721446000099604,runs/seeded_faults/seed_009/replicator_implementation_mismatch
s009-rep-environment_mismatch,9,replicator,environment_mismatch,SUCCEEDED,0.00518211100006738,runs/seeded_faults/seed_009/replicator_environment_mismatch
s009-rep-protocol_ambiguous,9,replicator,protocol_ambiguous,SUCCEEDED,0.0029320850001113286,runs/seeded_faults/seed_009/replicator_protocol_ambiguous
s009-rep-hidden_contamination,9,replicator,hidden_contamination,SUCCEEDED,0.0028163700001186953,runs/seeded_faults/seed_009/replicator_hidden_contamination
s009-proposer-shared,9,proposer,shared_bug,SUCCEEDED,0.003131025000129739,runs/seeded_faults/seed_009/proposer_shared_bug
s009-rep-shared_bug,9,replicator,shared_bug,SUCCEEDED,0.0029110729999501928,runs/seeded_faults/seed_009/replicator_shared_bug
s010-proposer-clean,10,proposer,clean,SUCCEEDED,0.0035357860001568042,runs/seeded_faults/seed_010/proposer_clean
s010-rep-clean,10,replicator,clean,SUCCEEDED,0.003075171000091359,runs/seeded_faults/seed_010/replicator_clean
s010-rep-data_mismatch,10,replicator,data_mismatch,SUCCEEDED,0.007316992000141909,runs/seeded_faults/seed_010/replicator_data_mismatch
s010-rep-metric_mismatch,10,replicator,metric_mismatch,SUCCEEDED,0.003965004000065164,runs/seeded_faults/seed_010/replicator_metric_mismatch
s010-rep-implementation_mismatch,10,replicator,implementation_mismatch,SUCCEEDED,0.0039586349998899095,runs/seeded_faults/seed_010/replicator_implementation_mismatch
s010-rep-environment_mismatch,10,replicator,environment_mismatch,SUCCEEDED,0.004040026999973634,runs/seeded_faults/seed_010/replicator_environment_mismatch
s010-rep-protocol_ambiguous,10,replicator,protocol_ambiguous,SUCCEEDED,0.00372768600004747,runs/seeded_faults/seed_010/replicator_protocol_ambiguous
s010-rep-hidden_contamination,10,replicator,hidden_contamination,SUCCEEDED,0.003367407000041567,runs/seeded_faults/seed_010/replicator_hidden_contamination
s010-proposer-shared,10,proposer,shared_bug,SUCCEEDED,0.003711099999918588,runs/seeded_faults/seed_010/proposer_shared_bug
s010-rep-shared_bug,10,replicator,shared_bug,SUCCEEDED,0.005233277000115777,runs/seeded_faults/seed_010/replicator_shared_bug
s011-proposer-clean,11,proposer,clean,SUCCEEDED,0.003402790000109235,runs/seeded_faults/seed_011/proposer_clean
s011-rep-clean,11,replicator,clean,SUCCEEDED,0.004196363000119163,runs/seeded_faults/seed_011/replicator_clean
s011-rep-data_mismatch,11,replicator,data_mismatch,SUCCEEDED,0.0065945970000029774,runs/seeded_faults/seed_011/replicator_data_mismatch
s011-rep-metric_mismatch,11,replicator,metric_mismatch,SUCCEEDED,0.0033121480000772863,runs/seeded_faults/seed_011/replicator_metric_mismatch
s011-rep-implementation_mismatch,11,replicator,implementation_mismatch,SUCCEEDED,0.0035235069999544066,runs/seeded_faults/seed_011/replicator_implementation_mismatch
s011-rep-environment_mismatch,11,replicator,environment_mismatch,SUCCEEDED,0.004215110999894023,runs/seeded_faults/seed_011/replicator_environment_mismatch
s011-rep-protocol_ambiguous,11,replicator,protocol_ambiguous,SUCCEEDED,0.003729948999989574,runs/seeded_faults/seed_011/replicator_protocol_ambiguous
s011-rep-hidden_contamination,11,replicator,hidden_contamination,SUCCEEDED,0.0032122990000971186,runs/seeded_faults/seed_011/replicator_hidden_contamination
s011-proposer-shared,11,proposer,shared_bug,SUCCEEDED,0.00341760800006341,runs/seeded_faults/seed_011/proposer_shared_bug
s011-rep-shared_bug,11,replicator,shared_bug,SUCCEEDED,0.003143573999977889,runs/seeded_faults/seed_011/replicator_shared_bug
s012-proposer-clean,12,proposer,clean,SUCCEEDED,0.003428734999943117,runs/seeded_faults/seed_012/proposer_clean
s012-rep-clean,12,replicator,clean,SUCCEEDED,0.0034328909998748713,runs/seeded_faults/seed_012/replicator_clean
s012-rep-data_mismatch,12,replicator,data_mismatch,SUCCEEDED,0.0056349730000420095,runs/seeded_faults/seed_012/replicator_data_mismatch
s012-rep-metric_mismatch,12,replicator,metric_mismatch,SUCCEEDED,0.0033118080000349437,runs/seeded_faults/seed_012/replicator_metric_mismatch
s012-rep-implementation_mismatch,12,replicator,implementation_mismatch,SUCCEEDED,0.0032342609999886918,runs/seeded_faults/seed_012/replicator_implementation_mismatch
s012-rep-environment_mismatch,12,replicator,environment_mismatch,SUCCEEDED,0.0032552929999383196,runs/seeded_faults/seed_012/replicator_environment_mismatch
s012-rep-protocol_ambiguous,12,replicator,protocol_ambiguous,SUCCEEDED,0.004808031000038682,runs/seeded_faults/seed_012/replicator_protocol_ambiguous
s012-rep-hidden_contamination,12,replicator,hidden_contamination,SUCCEEDED,0.0030347040001288406,runs/seeded_faults/seed_012/replicator_hidden_contamination
s012-proposer-shared,12,proposer,shared_bug,SUCCEEDED,0.004700362999983554,runs/seeded_faults/seed_012/proposer_shared_bug
s012-rep-shared_bug,12,replicator,shared_bug,SUCCEEDED,0.00393519399995057,runs/seeded_faults/seed_012/replicator_shared_bug
s013-proposer-clean,13,proposer,clean,SUCCEEDED,0.005225425999924482,runs/seeded_faults/seed_013/proposer_clean
s013-rep-clean,13,replicator,clean,SUCCEEDED,0.004959224999993239,runs/seeded_faults/seed_013/replicator_clean
s013-rep-data_mismatch,13,replicator,data_mismatch,SUCCEEDED,0.010662991999879523,runs/seeded_faults/seed_013/replicator_data_mismatch
s013-rep-metric_mismatch,13,replicator,metric_mismatch,SUCCEEDED,0.0032750420000411395,runs/seeded_faults/seed_013/replicator_metric_mismatch
s013-rep-implementation_mismatch,13,replicator,implementation_mismatch,SUCCEEDED,0.0037000530001023435,runs/seeded_faults/seed_013/replicator_implementation_mismatch
s013-rep-environment_mismatch,13,replicator,environment_mismatch,SUCCEEDED,0.0035568980001698947,runs/seeded_faults/seed_013/replicator_environment_mismatch
s013-rep-protocol_ambiguous,13,replicator,protocol_ambiguous,SUCCEEDED,0.0031147099998634076,runs/seeded_faults/seed_013/replicator_protocol_ambiguous
s013-rep-hidden_contamination,13,replicator,hidden_contamination,SUCCEEDED,0.004082421000020986,runs/seeded_faults/seed_013/replicator_hidden_contamination
s013-proposer-shared,13,proposer,shared_bug,SUCCEEDED,0.003805492999845228,runs/seeded_faults/seed_013/proposer_shared_bug
s013-rep-shared_bug,13,replicator,shared_bug,SUCCEEDED,0.004520782999861694,runs/seeded_faults/seed_013/replicator_shared_bug
s014-proposer-clean,14,proposer,clean,SUCCEEDED,0.0037969909999446827,runs/seeded_faults/seed_014/proposer_clean
s014-rep-clean,14,replicator,clean,SUCCEEDED,0.003242513000031977,runs/seeded_faults/seed_014/replicator_clean
s014-rep-data_mismatch,14,replicator,data_mismatch,SUCCEEDED,0.008373006000056193,runs/seeded_faults/seed_014/replicator_data_mismatch
s014-rep-metric_mismatch,14,replicator,metric_mismatch,SUCCEEDED,0.007317874000136726,runs/seeded_faults/seed_014/replicator_metric_mismatch
s014-rep-implementation_mismatch,14,replicator,implementation_mismatch,SUCCEEDED,0.0033022640000126557,runs/seeded_faults/seed_014/replicator_implementation_mismatch
s014-rep-environment_mismatch,14,replicator,environment_mismatch,SUCCEEDED,0.0032855579997885798,runs/seeded_faults/seed_014/replicator_environment_mismatch
s014-rep-protocol_ambiguous,14,replicator,protocol_ambiguous,SUCCEEDED,0.0038659940000798088,runs/seeded_faults/seed_014/replicator_protocol_ambiguous
s014-rep-hidden_contamination,14,replicator,hidden_contamination,SUCCEEDED,0.003752243000008093,runs/seeded_faults/seed_014/replicator_hidden_contamination
s014-proposer-shared,14,proposer,shared_bug,SUCCEEDED,0.005720853999946485,runs/seeded_faults/seed_014/proposer_shared_bug
s014-rep-shared_bug,14,replicator,shared_bug,SUCCEEDED,0.00363517599998886,runs/seeded_faults/seed_014/replicator_shared_bug
s015-proposer-clean,15,proposer,clean,SUCCEEDED,0.0036510659999748896,runs/seeded_faults/seed_015/proposer_clean
s015-rep-clean,15,replicator,clean,SUCCEEDED,0.004982288000064727,runs/seeded_faults/seed_015/replicator_clean
s015-rep-data_mismatch,15,replicator,data_mismatch,SUCCEEDED,0.006140476000155104,runs/seeded_faults/seed_015/replicator_data_mismatch
s015-rep-metric_mismatch,15,replicator,metric_mismatch,SUCCEEDED,0.0035438190000149916,runs/seeded_faults/seed_015/replicator_metric_mismatch
s015-rep-implementation_mismatch,15,replicator,implementation_mismatch,SUCCEEDED,0.0034620349999840982,runs/seeded_faults/seed_015/replicator_implementation_mismatch
s015-rep-environment_mismatch,15,replicator,environment_mismatch,SUCCEEDED,0.003237846999809335,runs/seeded_faults/seed_015/replicator_environment_mismatch
s015-rep-protocol_ambiguous,15,replicator,protocol_ambiguous,SUCCEEDED,0.0032859300001746305,runs/seeded_faults/seed_015/replicator_protocol_ambiguous
s015-rep-hidden_contamination,15,replicator,hidden_contamination,SUCCEEDED,0.003913607000185948,runs/seeded_faults/seed_015/replicator_hidden_contamination
s015-proposer-shared,15,proposer,shared_bug,SUCCEEDED,0.0035925009999573376,runs/seeded_faults/seed_015/proposer_shared_bug
s015-rep-shared_bug,15,replicator,shared_bug,SUCCEEDED,0.0037527039999076806,runs/seeded_faults/seed_015/replicator_shared_bug
s016-proposer-clean,16,proposer,clean,SUCCEEDED,0.003597803999809912,runs/seeded_faults/seed_016/proposer_clean
s016-rep-clean,16,replicator,clean,SUCCEEDED,0.003069322000101238,runs/seeded_faults/seed_016/replicator_clean
s016-rep-data_mismatch,16,replicator,data_mismatch,SUCCEEDED,0.008381548999977895,runs/seeded_faults/seed_016/replicator_data_mismatch
s016-rep-metric_mismatch,16,replicator,metric_mismatch,SUCCEEDED,0.003931792999992467,runs/seeded_faults/seed_016/replicator_metric_mismatch
s016-rep-implementation_mismatch,16,replicator,implementation_mismatch,SUCCEEDED,0.0035391509998135007,runs/seeded_faults/seed_016/replicator_implementation_mismatch
s016-rep-environment_mismatch,16,replicator,environment_mismatch,SUCCEEDED,0.003801566999982242,runs/seeded_faults/seed_016/replicator_environment_mismatch
s016-rep-protocol_ambiguous,16,replicator,protocol_ambiguous,SUCCEEDED,0.0037546160001511453,runs/seeded_faults/seed_016/replicator_protocol_ambiguous
s016-rep-hidden_contamination,16,replicator,hidden_contamination,SUCCEEDED,0.0035540940000373666,runs/seeded_faults/seed_016/replicator_hidden_contamination
s016-proposer-shared,16,proposer,shared_bug,SUCCEEDED,0.004761620999943261,runs/seeded_faults/seed_016/proposer_shared_bug
s016-rep-shared_bug,16,replicator,shared_bug,SUCCEEDED,0.006686610999850018,runs/seeded_faults/seed_016/replicator_shared_bug
s017-proposer-clean,17,proposer,clean,SUCCEEDED,0.0037554770001406723,runs/seeded_faults/seed_017/proposer_clean
s017-rep-clean,17,replicator,clean,SUCCEEDED,0.0035808039999665198,runs/seeded_faults/seed_017/replicator_clean
s017-rep-data_mismatch,17,replicator,data_mismatch,SUCCEEDED,0.006356222000022171,runs/seeded_faults/seed_017/replicator_data_mismatch
s017-rep-metric_mismatch,17,replicator,metric_mismatch,SUCCEEDED,0.007946933999846806,runs/seeded_faults/seed_017/replicator_metric_mismatch
s017-rep-implementation_mismatch,17,replicator,implementation_mismatch,SUCCEEDED,0.004014889000018229,runs/seeded_faults/seed_017/replicator_implementation_mismatch
s017-rep-environment_mismatch,17,replicator,environment_mismatch,SUCCEEDED,0.004774765999854935,runs/seeded_faults/seed_017/replicator_environment_mismatch
s017-rep-protocol_ambiguous,17,replicator,protocol_ambiguous,SUCCEEDED,0.006142559999943842,runs/seeded_faults/seed_017/replicator_protocol_ambiguous
s017-rep-hidden_contamination,17,replicator,hidden_contamination,SUCCEEDED,0.004259627999999793,runs/seeded_faults/seed_017/replicator_hidden_contamination
s017-proposer-shared,17,proposer,shared_bug,SUCCEEDED,0.005262653000045248,runs/seeded_faults/seed_017/proposer_shared_bug
s017-rep-shared_bug,17,replicator,shared_bug,SUCCEEDED,0.004121388999919873,runs/seeded_faults/seed_017/replicator_shared_bug
s018-proposer-clean,18,proposer,clean,SUCCEEDED,0.003954458000180239,runs/seeded_faults/seed_018/proposer_clean
s018-rep-clean,18,replicator,clean,SUCCEEDED,0.004448223000053986,runs/seeded_faults/seed_018/replicator_clean
s018-rep-data_mismatch,18,replicator,data_mismatch,SUCCEEDED,0.00692657399986274,runs/seeded_faults/seed_018/replicator_data_mismatch
s018-rep-metric_mismatch,18,replicator,metric_mismatch,SUCCEEDED,0.0033597999999983585,runs/seeded_faults/seed_018/replicator_metric_mismatch
s018-rep-implementation_mismatch,18,replicator,implementation_mismatch,SUCCEEDED,0.0034128499999042106,runs/seeded_faults/seed_018/replicator_implementation_mismatch
s018-rep-environment_mismatch,18,replicator,environment_mismatch,SUCCEEDED,0.0036048110000592715,runs/seeded_faults/seed_018/replicator_environment_mismatch
s018-rep-protocol_ambiguous,18,replicator,protocol_ambiguous,SUCCEEDED,0.00344438800016178,runs/seeded_faults/seed_018/replicator_protocol_ambiguous
s018-rep-hidden_contamination,18,replicator,hidden_contamination,SUCCEEDED,0.0034543229999144387,runs/seeded_faults/seed_018/replicator_hidden_contamination
s018-proposer-shared,18,proposer,shared_bug,SUCCEEDED,0.0034235870000429713,runs/seeded_faults/seed_018/proposer_shared_bug
s018-rep-shared_bug,18,replicator,shared_bug,SUCCEEDED,0.003381203000117239,runs/seeded_faults/seed_018/replicator_shared_bug
s019-proposer-clean,19,proposer,clean,SUCCEEDED,0.0035231169999860867,runs/seeded_faults/seed_019/proposer_clean
s019-rep-clean,19,replicator,clean,SUCCEEDED,0.0036572090000390745,runs/seeded_faults/seed_019/replicator_clean
s019-rep-data_mismatch,19,replicator,data_mismatch,SUCCEEDED,0.006597686999839425,runs/seeded_faults/seed_019/replicator_data_mismatch
s019-rep-metric_mismatch,19,replicator,metric_mismatch,SUCCEEDED,0.0036892580001222086,runs/seeded_faults/seed_019/replicator_metric_mismatch
s019-rep-implementation_mismatch,19,replicator,implementation_mismatch,SUCCEEDED,0.0036724920000779093,runs/seeded_faults/seed_019/replicator_implementation_mismatch
s019-rep-environment_mismatch,19,replicator,environment_mismatch,SUCCEEDED,0.0038612270000157878,runs/seeded_faults/seed_019/replicator_environment_mismatch
s019-rep-protocol_ambiguous,19,replicator,protocol_ambiguous,SUCCEEDED,0.0033763459998681356,runs/seeded_faults/seed_019/replicator_protocol_ambiguous
s019-rep-hidden_contamination,19,replicator,hidden_contamination,SUCCEEDED,0.0035721599999760656,runs/seeded_faults/seed_019/replicator_hidden_contamination
s019-proposer-shared,19,proposer,shared_bug,SUCCEEDED,0.003867665999905512,runs/seeded_faults/seed_019/proposer_shared_bug
